Year Yield
1966 65.1
1967 77.9
1968 84.5
1969 77.4
1970 75.2
1971 95.9
1972 67
1973 70.8
1974 69.8
1975 88.4
1976 77
1977 73
1978 89
1979 89
1980 86.8
1981 93.9
1982 92.2
1983 85.3
1984 97.9
1985 100.5
1986 76.8
1987 98.8
1988 99.7
1989 98.3
1990 107
1991 101.4
1992 82.9
1993 104.2
1994 113.7
1995 114.3
1996 111
1997 106.2
1998 128.7
1999 128.9
2000 92.9
2001 110.6
2002 112.2
2003 127.3
2004 132.4
2005 130.8
2006 114.7
2007 145.5
2008 131.4
2009 120
2010 148
2011 132.4
2012 145
2013 146.7
2014 136.6
2015 164.6
2016 168.2

