"year" "month" "total"
"1" 1966 1 68.5171130952381
"2" 1966 2 40.6896267271663
"3" 1966 3 53.7704110362998
"4" 1966 4 14.9192449941452
"5" 1966 5 37.2198881245121
"6" 1966 6 58.7430229605777
"7" 1966 7 61.7477482435597
"8" 1966 8 66.1522003708041
"9" 1966 9 57.7363399102264
"10" 1966 10 29.358281225605
"11" 1966 11 70.0155783079625
"12" 1966 12 94.0627457650273
"13" 1967 1 60.436187363388
"14" 1967 2 59.1551968481655
"15" 1967 3 12.320512509758
"16" 1967 4 66.1179599141296
"17" 1967 5 58.1294392369243
"18" 1967 6 91.0406743657299
"19" 1967 7 87.244224990242
"20" 1967 8 84.5132714188134
"21" 1967 9 57.8503673790008
"22" 1967 10 99.8851366217799
"23" 1967 11 81.6231104800937
"24" 1967 12 84.5074477166276
"25" 1968 1 56.4039657396565
"26" 1968 2 43.0724491608119
"27" 1968 3 93.688118667057
"28" 1968 4 54.3720614266198
"29" 1968 5 65.5522076502732
"30" 1968 6 76.0354455113193
"31" 1968 7 103.995366608119
"32" 1968 8 51.4072416666667
"33" 1968 9 49.089049726776
"34" 1968 10 74.8933675448868
"35" 1968 11 99.2428633782202
"36" 1968 12 107.635141959407
"37" 1969 1 76.1248052595628
"38" 1969 2 40.5574027224824
"39" 1969 3 53.3294269613583
"40" 1969 4 82.156775165886
"41" 1969 5 93.7097599726776
"42" 1969 6 121.543222736144
"43" 1969 7 61.524600175644
"44" 1969 8 94.9809609192037
"45" 1969 9 74.9818915983607
"46" 1969 10 64.2700389149102
"47" 1969 11 111.777446116315
"48" 1969 12 96.5209330503513
"49" 1970 1 25.4561234387198
"50" 1970 2 64.1667926229508
"51" 1970 3 60.4772281811085
"52" 1970 4 64.4808245999219
"53" 1970 5 77.3944103727557
"54" 1970 6 60.7759090456674
"55" 1970 7 76.3709928864169
"56" 1970 8 76.3877931498829
"57" 1970 9 133.581604879001
"58" 1970 10 86.6897522150663
"59" 1970 11 71.8028281713505
"60" 1970 12 103.318121809133
"61" 1971 1 70.5354736338798
"62" 1971 2 117.308619925839
"63" 1971 3 88.9030778688525
"64" 1971 4 47.0348667544887
"65" 1971 5 70.9856213602654
"66" 1971 6 52.5736639637002
"67" 1971 7 86.1175995413739
"68" 1971 8 131.264190261514
"69" 1971 9 107.643993754879
"70" 1971 10 53.8068299180328
"71" 1971 11 70.1550932962529
"72" 1971 12 91.0830645296643
"73" 1972 1 58.1593447989852
"74" 1972 2 106.679405240047
"75" 1972 3 95.4724655640125
"76" 1972 4 51.0975535421546
"77" 1972 5 88.6604629879001
"78" 1972 6 134.79313925644
"79" 1972 7 133.395935460578
"80" 1972 8 143.969404225215
"81" 1972 9 68.034355893833
"82" 1972 10 95.3694510343482
"83" 1972 11 104.332032113583
"84" 1972 12 156.26999746292
"85" 1973 1 42.2716237607338
"86" 1973 2 74.463968452381
"87" 1973 3 74.6417043325527
"88" 1973 4 100.448985626464
"89" 1973 5 125.207758099141
"90" 1973 6 95.1299567720531
"91" 1973 7 54.4609099434036
"92" 1973 8 110.582867418033
"93" 1973 9 102.803228590945
"94" 1973 10 71.1037670765027
"95" 1973 11 66.1921534836066
"96" 1973 12 128.335392252147
"97" 1974 1 64.8683395784543
"98" 1974 2 40.4223029274005
"99" 1974 3 107.239930220531
"100" 1974 4 108.857506303669
"101" 1974 5 135.494350692818
"102" 1974 6 97.2072574160812
"103" 1974 7 159.394130571819
"104" 1974 8 51.5674089188134
"105" 1974 9 71.2016945257611
"106" 1974 10 53.5826010050742
"107" 1974 11 76.692074882904
"108" 1974 12 60.3904601288056
"109" 1975 1 55.2822325429352
"110" 1975 2 40.3454970433255
"111" 1975 3 79.0023530347385
"112" 1975 4 65.5776834406714
"113" 1975 5 78.4355927693208
"114" 1975 6 59.9101920960187
"115" 1975 7 126.74454057377
"116" 1975 8 47.6890551717408
"117" 1975 9 147.901689617486
"118" 1975 10 81.8507704820453
"119" 1975 11 99.0237833626073
"120" 1975 12 87.5368197794692
"121" 1976 1 82.6387887782982
"122" 1976 2 78.4165442135051
"123" 1976 3 83.7094555620609
"124" 1976 4 54.7196099629196
"125" 1976 5 132.546095199063
"126" 1976 6 103.516762099922
"127" 1976 7 142.950144613583
"128" 1976 8 104.0990470726
"129" 1976 9 95.660250039032
"130" 1976 10 120.899260275176
"131" 1976 11 49.9271330698673
"132" 1976 12 59.3581613192818
"133" 1977 1 65.4559370999219
"134" 1977 2 48.7878168227947
"135" 1977 3 56.1677067427791
"136" 1977 4 51.2005013856362
"137" 1977 5 30.5144441159251
"138" 1977 6 92.8447683743169
"139" 1977 7 80.6500826502732
"140" 1977 8 89.8975770296643
"141" 1977 9 147.905440144418
"142" 1977 10 121.163799355972
"143" 1977 11 84.215931020687
"144" 1977 12 81.8646913739266
"145" 1978 1 137.979648467994
"146" 1978 2 15.20072470726
"147" 1978 3 78.3063070647931
"148" 1978 4 62.2319704527713
"149" 1978 5 47.9867279469165
"150" 1978 6 131.081305776737
"151" 1978 7 45.6126664519906
"152" 1978 8 80.5121797423888
"153" 1978 9 48.5336655152225
"154" 1978 10 92.807824765808
"155" 1978 11 75.3771762197502
"156" 1978 12 95.9979467993755
"157" 1979 1 109.249004752147
"158" 1979 2 27.5457019418423
"159" 1979 3 65.134818832943
"160" 1979 4 82.1565595335675
"161" 1979 5 103.793600712334
"162" 1979 6 43.8821895882123
"163" 1979 7 69.3019352459016
"164" 1979 8 124.413169564793
"165" 1979 9 140.991192027713
"166" 1979 10 85.3578575722092
"167" 1979 11 86.442362665886
"168" 1979 12 75.0976844457455
"169" 1980 1 27.8524613485558
"170" 1980 2 20.5770363875878
"171" 1980 3 45.853531508587
"172" 1980 4 102.053711104606
"173" 1980 5 51.9132525761124
"174" 1980 6 58.0939012295082
"175" 1980 7 124.653951063622
"176" 1980 8 97.3907174375488
"177" 1980 9 122.360596184621
"178" 1980 10 82.5791084699454
"179" 1980 11 78.1957904664325
"180" 1980 12 70.1229530054645
"181" 1981 1 19.7433992388759
"182" 1981 2 108.74396430523
"183" 1981 3 38.6588758294301
"184" 1981 4 79.7782763661202
"185" 1981 5 97.1829202576112
"186" 1981 6 154.433595101483
"187" 1981 7 98.7058756245121
"188" 1981 8 166.054081606167
"189" 1981 9 111.538835167838
"190" 1981 10 115.905802722482
"191" 1981 11 75.7389095433255
"192" 1981 12 63.8273630952381
"193" 1982 1 62.1087368950039
"194" 1982 2 25.8529573965652
"195" 1982 3 79.1588458235753
"196" 1982 4 56.0999034933646
"197" 1982 5 26.2358948185012
"198" 1982 6 97.8459205503513
"199" 1982 7 55.4763948575332
"200" 1982 8 123.44852675644
"201" 1982 9 103.745100370804
"202" 1982 10 50.0918205405933
"203" 1982 11 100.380210655738
"204" 1982 12 75.2594274102264
"205" 1983 1 61.1325869340359
"206" 1983 2 76.672275282982
"207" 1983 3 68.0560102166276
"208" 1983 4 154.057705054645
"209" 1983 5 169.800010782592
"210" 1983 6 36.630287626854
"211" 1983 7 79.5583947501952
"212" 1983 8 64.221543676815
"213" 1983 9 66.8411961651054
"214" 1983 10 93.7562942818111
"215" 1983 11 195.712057162373
"216" 1983 12 154.642225966042
"217" 1984 1 40.4622852068696
"218" 1984 2 68.5834846701795
"219" 1984 3 38.4570962822014
"220" 1984 4 79.2057632416081
"221" 1984 5 116.882890846995
"222" 1984 6 80.9796757513661
"223" 1984 7 88.9441260343482
"224" 1984 8 100.789946887198
"225" 1984 9 36.7239145003903
"226" 1984 10 50.2692660323966
"227" 1984 11 86.0032027419985
"228" 1984 12 80.4218355191257
"229" 1985 1 40.4268492291179
"230" 1985 2 64.8535901346604
"231" 1985 3 82.2862222092115
"232" 1985 4 62.1729592993755
"233" 1985 5 50.7576696818891
"234" 1985 6 108.108737119438
"235" 1985 7 110.963427527322
"236" 1985 8 72.8931567037471
"237" 1985 9 110.59275258587
"238" 1985 10 94.6666544496487
"239" 1985 11 66.9772019418423
"240" 1985 12 72.5592833918813
"241" 1986 1 103.393902449258
"242" 1986 2 35.2218585772834
"243" 1986 3 61.8603844359875
"244" 1986 4 46.9186693208431
"245" 1986 5 110.781679771663
"246" 1986 6 116.26794717018
"247" 1986 7 110.621811202186
"248" 1986 8 129.737764461358
"249" 1986 9 134.30217812256
"250" 1986 10 74.0704582357533
"251" 1986 11 79.1920585382514
"252" 1986 12 64.4444396174863
"253" 1987 1 69.2834412861046
"254" 1987 2 29.736999736534
"255" 1987 3 52.3233292935207
"256" 1987 4 51.0639761807182
"257" 1987 5 118.627905191257
"258" 1987 6 125.268275234192
"259" 1987 7 99.2851075136612
"260" 1987 8 62.6139452771273
"261" 1987 9 110.311233743169
"262" 1987 10 80.994568989071
"263" 1987 11 105.447930971897
"264" 1987 12 46.0475092017955
"265" 1988 1 35.2534556791569
"266" 1988 2 68.8790043911007
"267" 1988 3 28.8827276053864
"268" 1988 4 82.4700139734582
"269" 1988 5 43.2894651541764
"270" 1988 6 80.0319225019516
"271" 1988 7 59.8447527712724
"272" 1988 8 134.673238368462
"273" 1988 9 52.8400109484778
"274" 1988 10 89.5892232240437
"275" 1988 11 118.305478844653
"276" 1988 12 32.0305632025761
"277" 1989 1 60.145205991413
"278" 1989 2 35.5839266003123
"279" 1989 3 66.4004255171741
"280" 1989 4 55.2342222482436
"281" 1989 5 107.799878620219
"282" 1989 6 88.1015220042935
"283" 1989 7 41.6932390417643
"284" 1989 8 94.5643790593287
"285" 1989 9 78.7839855191257
"286" 1989 10 106.896037909836
"287" 1989 11 131.814057640515
"288" 1989 12 57.4366167447307
"289" 1990 1 80.1206152419985
"290" 1990 2 63.6016717896175
"291" 1990 3 49.4924628122561
"292" 1990 4 98.2546771955503
"293" 1990 5 72.0551966334895
"294" 1990 6 142.06900224434
"295" 1990 7 92.7562517466823
"296" 1990 8 121.742402859094
"297" 1990 9 90.6162857923497
"298" 1990 10 140.884083782201
"299" 1990 11 82.2469211260734
"300" 1990 12 129.428883713895
"301" 1991 1 64.7320241022639
"302" 1991 2 45.6785429352069
"303" 1991 3 67.3382978825137
"304" 1991 4 113.933631108509
"305" 1991 5 92.3603176327088
"306" 1991 6 59.9786491900859
"307" 1991 7 63.7784728825137
"308" 1991 8 143.109270062451
"309" 1991 9 82.1489568110851
"310" 1991 10 95.0299867583919
"311" 1991 11 28.9387629098361
"312" 1991 12 69.4216792349727
"313" 1992 1 75.5621988387978
"314" 1992 2 73.7103295374707
"315" 1992 3 68.6922843579235
"316" 1992 4 48.6298024199844
"317" 1992 5 57.7678211748634
"318" 1992 6 56.3877386709602
"319" 1992 7 154.794880610851
"320" 1992 8 91.3691594457455
"321" 1992 9 100.28098867096
"322" 1992 10 73.577268696331
"323" 1992 11 83.954393540203
"324" 1992 12 29.7070291861827
"325" 1993 1 102.577604361827
"326" 1993 2 58.4055292740047
"327" 1993 3 68.8607026639344
"328" 1993 4 126.328726453942
"329" 1993 5 82.4182536494926
"330" 1993 6 98.7118976288056
"331" 1993 7 94.5758570843091
"332" 1993 8 98.0303055620609
"333" 1993 9 116.414882884465
"334" 1993 10 132.369616891101
"335" 1993 11 85.7213040788447
"336" 1993 12 51.7706193306011
"337" 1994 1 95.2575231947697
"338" 1994 2 70.0816340554255
"339" 1994 3 54.5589971799375
"340" 1994 4 106.021161797424
"341" 1994 5 102.37233974434
"342" 1994 6 159.28061323185
"343" 1994 7 114.871324931694
"344" 1994 8 94.6959918715847
"345" 1994 9 71.8680401053864
"346" 1994 10 36.5381986826698
"347" 1994 11 88.4955105483997
"348" 1994 12 51.4536012880562
"349" 1995 1 105.440334699454
"350" 1995 2 50.2540546057767
"351" 1995 3 53.0562586943794
"352" 1995 4 66.8803609972678
"353" 1995 5 85.7870407006245
"354" 1995 6 51.6924387002342
"355" 1995 7 150.801864071038
"356" 1995 8 82.2145880074161
"357" 1995 9 70.7910543520687
"358" 1995 10 154.542154049571
"359" 1995 11 115.849387675644
"360" 1995 12 77.4793670081967
"361" 1996 1 64.32886279274
"362" 1996 2 61.1821605288837
"363" 1996 3 22.3852547423888
"364" 1996 4 142.481582572209
"365" 1996 5 96.8498024687744
"366" 1996 6 93.944256381733
"367" 1996 7 146.180689022248
"368" 1996 8 53.6542198770492
"369" 1996 9 98.4353210480094
"370" 1996 10 101.902803132319
"371" 1996 11 136.169656049961
"372" 1996 12 100.676329215457
"373" 1997 1 102.457955893833
"374" 1997 2 89.773737334114
"375" 1997 3 86.9483317525371
"376" 1997 4 64.728274863388
"377" 1997 5 75.9329427400468
"378" 1997 6 70.7364125
"379" 1997 7 95.3079228239657
"380" 1997 8 79.4337295081967
"381" 1997 9 63.5593568306011
"382" 1997 10 29.8282202185792
"383" 1997 11 72.5456509758002
"384" 1997 12 45.725724980484
"385" 1998 1 77.5305017174083
"386" 1998 2 30.5781921935987
"387" 1998 3 75.7538117876659
"388" 1998 4 43.9654352263856
"389" 1998 5 58.7671340261515
"390" 1998 6 124.818119974629
"391" 1998 7 116.754240846995
"392" 1998 8 73.9472786885246
"393" 1998 9 52.8376195940671
"394" 1998 10 44.1854217017955
"395" 1998 11 45.1869818891491
"396" 1998 12 57.7954140515223
"397" 1999 1 105.568979947307
"398" 1999 2 39.3876283079625
"399" 1999 3 57.2921806108509
"400" 1999 4 27.2781214968774
"401" 1999 5 58.0546849141296
"402" 1999 6 130.40356537861
"403" 1999 7 98.2535962041374
"404" 1999 8 70.5464571038251
"405" 1999 9 173.438958821233
"406" 1999 10 108.191639783372
"407" 1999 11 67.1066575624512
"408" 1999 12 66.5653225800156
"409" 2000 1 83.5591617974239
"410" 2000 2 65.9526053669009
"411" 2000 3 64.9213646370024
"412" 2000 4 119.924590310304
"413" 2000 5 147.008719028103
"414" 2000 6 106.171733567525
"415" 2000 7 68.9870262685402
"416" 2000 8 118.153471174863
"417" 2000 9 111.952685665496
"418" 2000 10 45.7850462724434
"419" 2000 11 70.4257057669789
"420" 2000 12 125.612770999219
"421" 2001 1 46.4703615534739
"422" 2001 2 69.8923514344262
"423" 2001 3 75.2763022736144
"424" 2001 4 19.763881118267
"425" 2001 5 73.8954219067135
"426" 2001 6 89.9704091822795
"427" 2001 7 95.6591165007807
"428" 2001 8 99.3928595238095
"429" 2001 9 58.1877577283372
"430" 2001 10 89.28301225605
"431" 2001 11 83.7853768345043
"432" 2001 12 48.5340056889149
"433" 2002 1 48.4191089285714
"434" 2002 2 32.5026096896955
"435" 2002 3 74.2051128903201
"436" 2002 4 85.2117949843872
"437" 2002 5 131.17523842701
"438" 2002 6 120.626421087041
"439" 2002 7 89.5246726678376
"440" 2002 8 46.8312213992974
"441" 2002 9 101.711260284934
"442" 2002 10 89.2171930620609
"443" 2002 11 85.8795379976581
"444" 2002 12 33.0885421350507
"445" 2003 1 35.3848609289617
"446" 2003 2 43.8569733216237
"447" 2003 3 80.4226340261514
"448" 2003 4 78.5863472189695
"449" 2003 5 110.49537607338
"450" 2003 6 62.6581742291179
"451" 2003 7 97.547325087822
